FILENAME:	2b601514.txt
TITLE:	AFC Filter 04 ZnS Test Piece Sample 2B6 @ 15K, 2.6°i, In f/8 (CDCR 04794/04804, SMCR 01938)
FORMAL_COMMENT:	Astronomical Filter Consortium - Filter 04 (PAH1 +ArIII ref1) Test Piece
CREATION_DATE:	14-Feb-2003
RUN_DATE:	07-Sep-2001
AUTHOR:	Richard Sherwood
CHANNEL:	04
CHANNEL_VERSION:	n/a
MODEL:	Test Piece
TEMPERATURE:	15K
ANGLE:	2.6°
FNUMBER:	f/8
DATA:
1.751	-0.21984
1.752	-0.03054
1.753	-0.00105
1.754	0.37892
1.755	0.09896
1.756	0.00436
1.757	-0.23547
1.758	0.05959
1.759	0.06544
1.760	-0.29976
1.761	0.06880
1.762	-0.00731
1.763	-0.11255
1.764	0.02370
1.765	-0.12316
1.766	-0.25282
1.767	0.07279
1.768	-0.05242
1.769	-0.08355
1.770	0.25731
1.771	0.37852
1.772	-0.25159
1.773	0.12047
1.774	0.01410
1.775	0.15413
1.776	0.06943
1.777	0.03713
1.778	-0.15453
1.779	0.28086
1.780	-0.11423
1.781	0.06042
1.782	0.08916
1.783	0.61718
1.784	0.21828
1.785	0.32882
1.786	-0.10438
1.787	-0.18432
1.788	-0.05782
1.789	0.24063
1.790	0.04703
1.791	0.07922
1.792	0.15448
1.793	-0.07184
1.794	0.09710
1.795	-0.00334
1.796	0.17233
1.797	0.28307
1.798	0.50261
1.799	0.06349
1.800	-0.14361
1.801	0.11569
1.802	-0.05216
1.803	-0.09570
1.804	-0.02445
1.805	-0.35865
1.806	-0.07241
1.807	-0.07314
1.808	0.03549
1.809	0.27625
1.810	0.03598
1.811	0.15542
1.812	-0.01937
1.813	-0.00735
1.814	0.04084
1.815	0.11238
1.816	0.00941
1.817	0.07151
1.818	0.15285
1.819	0.01594
1.820	-0.00210
1.821	-0.24236
1.822	-0.03346
1.823	-0.03668
1.824	-0.06353
1.825	0.00495
1.826	0.06626
1.827	-0.77553
1.828	0.26795
1.829	-0.04778
1.830	-0.21791
1.831	0.11849
1.832	0.07188
1.833	0.22884
1.834	-0.01130
1.835	0.36521
1.836	0.11124
1.837	-0.04636
1.838	-0.04331
1.839	-0.01935
