FILENAME:	36b03015.txt
TITLE:	CanariCam Q-Wide CdTe Sample 36B @ 30K, 3°I, T% (CDCR 05096/05102, SMCR 02266)
FORMAL_COMMENT:	CanariCam Q-Wide Filter
CREATION_DATE:	03-Jul-2003
RUN_DATE:	02-Jul-2003
AUTHOR:	Richard Sherwood
CHANNEL:	Q-WIDE
CHANNEL_VERSION:	n/a
MODEL:	Window
TEMPERATURE:	30K
ANGLE:	3°
FNUMBER:	f/8
DATA:
2.302	0.02795
2.303	0.02883
2.304	0.02629
2.305	0.01274
2.306	0.01297
2.307	0.01911
2.308	0.00160
2.309	-0.01383
2.310	-0.00727
2.311	-0.00087
2.312	0.00336
2.313	0.00479
2.314	0.00534
2.315	0.01592
2.316	0.02688
2.317	0.02937
2.318	0.02107
2.319	-0.00081
2.320	-0.01832
2.321	-0.01844
2.322	-0.02212
2.323	-0.03751
2.324	-0.04345
2.325	-0.03510
2.326	-0.01464
2.327	0.00009
2.328	-0.01981
2.329	-0.04431
2.330	-0.03476
2.331	-0.01819
2.332	-0.01580
2.333	0.00150
2.334	0.03856
2.335	0.05641
2.336	0.03859
2.337	0.01373
2.338	0.00204
2.339	0.00013
2.340	0.00151
2.341	-0.00623
2.342	-0.02599
2.343	-0.03777
2.344	-0.03393
2.345	-0.03655
2.346	-0.05519
2.347	-0.07512
2.348	-0.06940
2.349	-0.01454
2.350	0.04980
2.351	0.06167
2.352	0.04236
2.353	0.02904
2.354	0.00822
2.355	-0.00564
2.356	0.01816
2.357	0.05679
2.358	0.06073
2.359	0.02558
2.360	0.00380
2.361	0.00912
2.362	0.00973
2.363	0.00203
2.364	0.00203
2.365	0.01685
2.366	0.03159
2.367	0.02530
2.368	0.01803
2.369	0.03087
2.370	0.04059
2.371	0.03775
2.372	0.02929
2.373	0.01786
2.374	0.01331
2.375	0.01255
2.376	0.00518
2.377	0.00175
2.378	0.00302
2.379	-0.01393
2.380	-0.04150
2.381	-0.04307
2.382	-0.01171
2.383	0.01240
2.384	0.00717
2.385	-0.00690
2.386	-0.00389
2.387	0.01728
2.388	0.03420
2.389	0.03304
2.390	0.02661
2.391	0.02278
2.392	0.01650
2.393	0.01381
2.394	0.01927
2.395	0.01812
2.396	-0.00034
2.397	-0.02105
2.398	-0.02055
2.399	-0.00003
2.400	0.01927
2.401	0.02454
2.402	0.02013
2.403	0.01346
2.404	0.01337
2.405	0.02455
2.406	0.02973
2.407	0.01896
2.408	0.01797
2.409	0.04382
2.410	0.06261
2.411	0.04635
2.412	0.02625
2.413	0.03331
2.414	0.03944
2.415	0.03255
2.416	0.03469
2.417	0.03804
2.418	0.02488
2.419	0.01320
2.420	0.01563
2.421	0.01343
2.422	0.00197
2.423	-0.01130
2.424	-0.02624
2.425	-0.03324
2.426	-0.02493
2.427	-0.01984
2.428	-0.02736
2.429	-0.03270
2.430	-0.02488
2.431	-0.01105
2.432	-0.00506
2.433	-0.01333
2.434	-0.03372
2.435	-0.05323
2.436	-0.03977
2.437	0.01339
2.438	0.05713
2.439	0.05874
2.440	0.04441
2.441	0.04422
2.442	0.04850
2.443	0.03688
2.444	0.01895
2.445	0.01022
2.446	0.00753
2.447	0.00489
2.448	0.00247
2.449	-0.00184
2.450	-0.00852
2.451	-0.01415
2.452	-0.00944
2.453	0.00937
2.454	0.02649
2.455	0.02437
2.456	0.01279
2.457	0.01165
2.458	0.01860
2.459	0.01272
2.460	-0.00618
2.461	-0.01429
2.462	-0.00021
2.463	0.01760
2.464	0.01051
2.465	-0.01734
2.466	-0.03440
2.467	-0.02489
2.468	-0.00187
2.469	0.01776
2.470	0.02475
2.471	0.02167
2.472	0.01548
2.473	0.00547
2.474	-0.00671
2.475	-0.01373
2.476	-0.01518
2.477	-0.01437
2.478	-0.00959
2.479	0.00235
2.480	0.01655
2.481	0.02022
2.482	0.00787
2.483	-0.01204
2.484	-0.02361
2.485	-0.01595
2.486	0.00429
2.487	0.01737
2.488	0.01078
2.489	-0.00600
2.490	-0.01559
2.491	-0.01406
2.492	-0.00879
2.493	0.00039
2.494	0.01514
2.495	0.02510
2.496	0.01975
2.497	0.00424
2.498	-0.00867
2.499	-0.01284
2.500	-0.00918
2.501	0.00241
2.502	0.01842
2.503	0.03024
2.504	0.03439
2.505	0.02982
2.506	0.01691
2.507	0.00609
2.508	0.00431
2.509	0.00292
2.510	-0.00322
2.511	-0.00867
2.512	-0.01042
2.513	-0.01088
2.514	-0.01133
2.515	-0.00719
2.516	0.00492
2.517	0.01674
2.518	0.01718
2.519	0.00901
2.520	0.00170
2.521	-0.00130
2.522	-0.00190
2.523	0.00088
2.524	0.00572
2.525	0.00613
2.526	0.00029
2.527	-0.00723
2.528	-0.01209
2.529	-0.01041
2.530	-0.00152
2.531	0.00420
2.532	-0.00294
2.533	-0.01084
2.534	-0.00382
2.535	0.00851
2.536	0.00759
2.537	-0.00599
2.538	-0.01415
2.539	-0.00615
2.540	0.00831
2.541	0.01330
2.542	0.00801
2.543	0.01155
2.544	0.03219
2.545	0.05189
2.546	0.05450
2.547	0.04077
2.548	0.02182
2.549	0.01034
2.550	0.01177
2.551	0.01679
2.552	0.01176
2.553	-0.00127
2.554	-0.00737
2.555	-0.00014
2.556	0.01154
2.557	0.01911
2.558	0.02244
2.559	0.02277
2.560	0.02024
2.561	0.02174
2.562	0.03424
2.563	0.04170
2.564	0.02552
2.565	0.00077
2.566	-0.00695
2.567	0.00181
2.568	0.00893
2.569	0.00557
2.570	-0.00317
2.571	-0.00921
2.572	-0.00939
2.573	-0.00516
2.574	-0.00215
2.575	-0.00505
2.576	-0.00881
2.577	-0.00851
2.578	-0.00800
2.579	-0.01038
2.580	-0.01387
2.581	-0.01269
2.582	0.00471
2.583	0.03699
2.584	0.05689
