FILENAME:	2bg015_6.txt
TITLE:	AFC Filter 02 ZnS Test Piece Sample 2BG @ 15K, 2.6°i, In f/8 (CDCR 04739/04744, SMCR 01880)
FORMAL_COMMENT:	Astronomical Filter Consortium - Filter 02 (SiC) Test Piece
CREATION_DATE:	14-Feb-2003
RUN_DATE:	26-Jun-2001
AUTHOR:	Richard Sherwood
CHANNEL:	02
CHANNEL_VERSION:	n/a
MODEL:	Test Piece
TEMPERATURE:	15K
ANGLE:	2.6°
FNUMBER:	f/8
DATA:
2.206	-0.28218
2.207	-0.39941
2.208	-0.10452
2.209	-0.09247
2.210	-0.20983
2.211	0.06539
2.212	-0.01811
2.213	0.40652
2.214	0.40747
2.215	-0.09885
2.216	-0.06485
2.217	-0.06676
2.218	0.06424
2.219	-0.24796
2.220	0.17666
2.221	0.08770
2.222	0.39323
2.223	0.10072
2.224	0.20141
2.225	0.36307
2.226	0.48147
2.227	-0.06274
2.228	0.17531
2.229	-0.28633
2.230	-0.22295
2.231	0.03848
2.232	0.01803
2.233	0.21217
2.234	0.39955
2.235	0.19285
2.236	0.28551
2.237	0.42745
2.238	-0.11964
2.239	-0.00659
2.240	-0.20851
2.241	-0.05517
2.242	-0.06840
2.243	0.28883
2.244	0.07825
2.245	-0.07662
2.246	-0.16390
2.247	-0.03122
2.248	0.07027
2.249	-0.04604
2.250	0.04251
2.251	0.16397
2.252	0.03750
2.253	-0.13181
2.254	0.02964
2.255	-0.03248
2.256	-0.13367
2.257	-0.11497
2.258	0.19941
2.259	0.07700
2.260	0.06967
2.261	0.15431
2.262	0.20400
2.263	0.30214
2.264	-0.03387
2.265	-0.21557
2.266	-0.22161
2.267	-0.19409
2.268	-0.38781
2.269	-0.00805
2.270	0.29120
2.271	0.11199
2.272	-0.11240
2.273	-0.10060
2.274	-0.00970
2.275	0.16624
2.276	0.13863
2.277	0.12795
2.278	0.08421
2.279	0.01524
2.280	0.04948
2.281	0.08585
2.282	-0.00011
2.283	-0.24853
2.284	-0.05330
2.285	0.02127
2.286	0.04522
2.287	-0.04920
2.288	0.02264
2.289	0.02801
2.290	0.05602
2.291	0.12736
2.292	-0.09843
2.293	0.09315
2.294	0.11547
2.295	-0.00761
2.296	0.05657
2.297	0.14944
2.298	-0.02378
2.299	-0.05496
2.300	0.05468
2.301	-0.02181
2.302	-0.20203
2.303	-0.00223
2.304	0.08515
2.305	0.14028
2.306	0.17216
2.307	0.05862
2.308	0.02161
2.309	0.05104
2.310	0.22198
2.311	0.34785
2.312	-0.00401
2.313	0.01927
2.314	0.05537
2.315	0.03838
2.316	-0.01308
2.317	-0.04317
2.318	0.02065
2.319	0.30796
2.320	0.05242
2.321	-0.13242
2.322	0.00330
2.323	-0.20536
2.324	-0.00202
2.325	-0.12587
2.326	0.02804
2.327	0.05148
2.328	0.14337
2.329	0.34713
2.330	0.28861
2.331	0.22975
2.332	-0.12084
2.333	-0.02912
2.334	0.05741
2.335	0.04556
2.336	0.14592
2.337	-0.05691
2.338	0.03791
2.339	-0.14814
2.340	-0.13591
2.341	-0.02566
2.342	-0.10404
2.343	0.09873
2.344	-0.10114
2.345	-0.06975
2.346	0.21572
2.347	0.33436
2.348	0.07326
2.349	0.02968
2.350	0.20679
2.351	0.05333
2.352	0.03778
2.353	0.07735
2.354	0.00638
2.355	-0.08718
2.356	-0.07318
2.357	-0.04439
2.358	0.14499
2.359	0.28580
2.360	0.27602
2.361	0.10391
2.362	0.01213
2.363	0.03905
2.364	0.00696
2.365	0.07351
2.366	-0.00189
2.367	0.16003
2.368	0.04790
2.369	-0.24204
2.370	-0.26583
2.371	0.05634
2.372	0.29052
2.373	0.02791
2.374	-0.05866
2.375	-0.04814
2.376	0.00824
2.377	-0.05134
2.378	-0.09186
2.379	-0.09169
2.380	-0.03273
2.381	-0.09277
2.382	-0.02170
2.383	-0.02169
2.384	0.06311
2.385	0.17650
2.386	0.17079
2.387	-0.07213
2.388	-0.19352
2.389	-0.09281
2.390	0.13304
2.391	-0.04447
2.392	-0.08112
2.393	-0.08738
2.394	-0.05929
2.395	-0.05721
2.396	-0.01048
2.397	-0.01177
2.398	0.01816
2.399	-0.02920
2.400	-0.06924
2.401	0.09427
2.402	0.00571
2.403	0.02846
2.404	0.00369
2.405	-0.06879
2.406	-0.03639
2.407	0.03449
2.408	-0.11985
2.409	-0.03450
2.410	-0.02594
2.411	-0.05713
2.412	-0.01185
2.413	-0.00493
2.414	0.07579
2.415	-0.16343
2.416	-0.09764
2.417	0.02814
2.418	0.09558
2.419	0.11918
2.420	0.01698
2.421	0.02359
2.422	-0.02606
2.423	-0.06926
2.424	-0.08511
2.425	0.03654
