FILENAME:	2b901513.txt
TITLE:	AFC Filter 10 ZnS Test Piece Sample 2B9 @ 15K, 2.6°i, In f/8 (CDCR 04802/04806, SMCR 01941)
FORMAL_COMMENT:	Astronomical Filter Consortium - Filter 10 (PAH2) Test Piece
CREATION_DATE:	14-Feb-2003
RUN_DATE:	13-Sep-2001
AUTHOR:	Richard Sherwood
CHANNEL:	10
CHANNEL_VERSION:	n/a
MODEL:	Test Piece
TEMPERATURE:	15K
ANGLE:	2.6°
FNUMBER:	f/8
DATA:
2.261	0.24418
2.262	0.17088
2.263	0.30941
2.264	0.40106
2.265	0.08106
2.266	0.02921
2.267	-0.07980
2.268	-0.08827
2.269	-0.17551
2.270	0.02441
2.271	0.07987
2.272	-0.05742
2.273	-0.01488
2.274	0.07032
2.275	0.20357
2.276	-0.00072
2.277	0.02703
2.278	0.04937
2.279	0.08124
2.280	-0.01021
2.281	0.05667
2.282	-0.01851
2.283	-0.03494
2.284	0.11678
2.285	0.00399
2.286	-0.15282
2.287	0.07455
2.288	-0.07352
2.289	-0.02418
2.290	-0.09142
2.291	0.10262
2.292	0.02726
2.293	0.08941
2.294	0.13730
2.295	-0.03790
2.296	-0.12531
2.297	0.05910
2.298	0.01857
2.299	0.13162
2.300	0.10251
2.301	0.02627
2.302	-0.00774
2.303	0.05373
2.304	0.01201
2.305	-0.04825
2.306	0.04737
2.307	-0.07327
2.308	-0.12307
2.309	-0.02103
2.310	0.03346
2.311	0.00320
2.312	0.01664
2.313	-0.11840
2.314	0.06112
2.315	-0.02268
2.316	0.03674
2.317	0.06179
2.318	-0.03144
2.319	0.00305
2.320	0.01687
2.321	0.00771
2.322	-0.06839
2.323	0.11328
2.324	0.11904
2.325	-0.07081
2.326	0.05458
2.327	0.06989
2.328	0.04574
2.329	0.05655
2.330	-0.07049
2.331	0.00568
2.332	0.06763
2.333	0.00645
2.334	-0.02796
2.335	-0.07056
2.336	-0.05800
2.337	-0.00774
2.338	-0.09981
2.339	-0.01262
2.340	0.08122
2.341	0.01767
2.342	-0.01463
2.343	-0.05414
2.344	-0.05927
2.345	0.05066
2.346	0.06010
2.347	0.08788
2.348	-0.07964
2.349	-0.01916
2.350	0.03496
2.351	0.04326
2.352	0.09042
2.353	-0.10958
2.354	-0.08973
2.355	-0.05134
2.356	0.02609
2.357	0.10728
2.358	0.04337
2.359	0.02601
2.360	-0.03146
2.361	0.01498
2.362	0.11462
2.363	0.08922
2.364	0.00859
2.365	-0.01120
2.366	-0.04541
2.367	0.01568
2.368	0.01544
2.369	0.02100
2.370	0.00631
2.371	-0.06203
2.372	-0.05308
2.373	0.05564
2.374	0.15221
2.375	0.05929
2.376	0.09041
2.377	0.09201
2.378	-0.05168
2.379	-0.05440
2.380	-0.06877
2.381	-0.05760
2.382	0.04251
2.383	0.07124
2.384	0.01986
2.385	0.09671
2.386	0.08950
2.387	0.02386
2.388	0.02135
2.389	-0.01141
2.390	-0.01423
2.391	0.00673
2.392	-0.02297
2.393	-0.04004
2.394	-0.01150
2.395	-0.04901
2.396	0.08511
2.397	0.00843
2.398	-0.06278
2.399	-0.03589
2.400	-0.00286
2.401	0.03958
2.402	-0.03642
2.403	-0.01273
2.404	0.04469
2.405	0.02415
2.406	0.06846
2.407	0.10298
2.408	0.05712
2.409	0.01828
2.410	0.05525
2.411	0.03266
2.412	-0.02571
2.413	-0.03376
2.414	-0.00618
2.415	-0.02394
2.416	-0.11425
2.417	0.04714
2.418	0.03560
2.419	-0.00556
2.420	-0.06323
2.421	-0.00454
2.422	-0.02089
2.423	-0.03225
