FILENAME:	2jb01518.txt
TITLE:	AFC Filter 08 ZnS Test Piece Sample 2JB @ 15K, 2.6°i, In f/8 (CDCR 04856/04858, SMCR 01996)
FORMAL_COMMENT:	Astronomical Filter Consortium - Filter 08 (SIV) Test Piece
CREATION_DATE:	14-Feb-2003
RUN_DATE:	19-Dec-2001
AUTHOR:	Richard Sherwood
CHANNEL:	08
CHANNEL_VERSION:	n/a
MODEL:	Test Piece
TEMPERATURE:	15K
ANGLE:	2.6°
FNUMBER:	f/8
DATA:
2.338	-0.02633
2.339	-0.01454
2.340	0.03944
2.341	0.08851
2.342	0.06274
2.343	-0.07043
2.344	-0.12665
2.345	-0.06118
2.346	0.02027
2.347	-0.03753
2.348	-0.14321
2.349	0.13606
2.350	0.19539
2.351	0.23290
2.352	0.16024
2.353	0.10701
2.354	0.03156
2.355	0.11604
2.356	0.11549
2.357	0.01394
2.358	0.08306
2.359	-0.00732
2.360	-0.03949
2.361	-0.00309
2.362	0.11513
2.363	0.05299
2.364	0.05677
2.365	0.13188
2.366	0.04707
2.367	-0.08952
2.368	-0.03688
2.369	0.03813
2.370	-0.02509
2.371	-0.02174
2.372	-0.00207
2.373	0.04313
2.374	-0.04163
2.375	0.00346
2.376	0.01681
2.377	-0.03505
2.378	0.00038
2.379	0.04752
2.380	0.09100
2.381	0.05581
2.382	-0.03798
2.383	-0.01804
2.384	-0.00456
2.385	-0.01287
2.386	-0.04919
2.387	0.01998
2.388	0.00293
2.389	0.00344
2.390	0.04947
2.391	0.05474
2.392	-0.03769
2.393	-0.01302
2.394	-0.02592
2.395	-0.03617
2.396	-0.00836
2.397	0.06031
2.398	-0.04441
2.399	-0.01769
2.400	0.03263
2.401	0.09689
2.402	-0.01183
2.403	0.03379
2.404	-0.00552
2.405	0.05803
2.406	0.03625
2.407	0.02561
2.408	0.05025
2.409	-0.00921
2.410	-0.07938
2.411	-0.07762
2.412	-0.04763
2.413	-0.03544
2.414	-0.06873
2.415	-0.05387
2.416	0.08943
2.417	0.04874
2.418	0.03744
2.419	-0.02463
2.420	0.02440
2.421	0.00991
2.422	-0.02111
2.423	0.02795
2.424	0.03357
2.425	0.01276
2.426	-0.01250
2.427	-0.01554
2.428	0.08543
2.429	0.06517
2.430	0.09990
2.431	0.06253
2.432	-0.01566
2.433	-0.01542
2.434	0.08856
2.435	0.06978
2.436	0.12604
2.437	0.11891
2.438	-0.13000
2.439	-0.02451
2.440	-0.05536
2.441	-0.03635
2.442	-0.01969
2.443	-0.00499
2.444	-0.02915
2.445	0.02199
2.446	0.07360
2.447	0.00917
2.448	-0.01082
2.449	0.05995
2.450	0.02568
2.451	0.01683
2.452	-0.04675
2.453	-0.04262
2.454	0.00174
2.455	-0.00256
2.456	0.10311
2.457	0.11098
2.458	0.02314
2.459	0.12373
2.460	0.07207
2.461	-0.03431
2.462	0.00234
2.463	0.02648
2.464	0.09664
2.465	0.06672
2.466	0.00656
2.467	0.09217
2.468	0.04151
2.469	0.07759
2.470	0.08381
2.471	0.08817
2.472	0.19414
2.473	0.11128
2.474	-0.00685
2.475	-0.07419
2.476	0.05877
2.477	0.15579
2.478	0.15899
2.479	-0.02482
2.480	-0.01719
2.481	0.00804
2.482	-0.01494
2.483	-0.04652
2.484	-0.04932
2.485	-0.06462
2.486	-0.05338
2.487	0.05776
2.488	0.02955
2.489	-0.06563
2.490	-0.08157
2.491	-0.08819
2.492	-0.07173
2.493	0.03949
2.494	0.04022
2.495	-0.01416
2.496	0.04957
2.497	0.09162
2.498	0.06380
2.499	0.04648
