The University of Reading, Infrared Multilayer Laboratory
http://www.cyber.rdg.ac.uk/irfilters/
---------------------------------------------------------
FILENAME:	2ng015_8.txt
TITLE: 	AFC Filter 22 CdTe S29 Sample 2F8 @ 15K, 2.6°I, In f/8 (CDCR 04928/04959, SMCR 02117)
CREATION_DATE:	13-Aug-2003
AUTHOR:	Richard Sherwood
TEMPERATURE:	15K
ANGLE:	0°
DATA:
2.215	-0.03307
2.216	0.02265
2.217	-0.00260
2.218	-0.06085
2.219	-0.01573
2.220	0.03603
2.221	0.02452
2.222	0.00380
2.223	0.03424
2.224	0.08144
2.225	0.05138
2.226	0.06759
2.227	0.02573
2.228	-0.01011
2.229	-0.08983
2.230	-0.06247
2.231	-0.04285
2.232	0.00793
2.233	0.06502
2.234	0.06392
2.235	-0.00753
2.236	-0.00324
2.237	-0.02709
2.238	-0.02194
2.239	-0.07550
2.240	-0.04932
2.241	-0.00373
2.242	0.03956
2.243	0.02574
2.244	0.01075
2.245	0.01169
2.246	-0.00388
2.247	-0.02240
2.248	-0.00734
2.249	0.00166
2.250	0.02189
2.251	0.04366
2.252	-0.03615
2.253	0.03514
2.254	0.01500
2.255	-0.01242
2.256	-0.02166
2.257	0.01763
2.258	-0.04650
2.259	0.00983
2.260	0.03272
2.261	-0.01631
2.262	0.05555
2.263	0.03083
2.264	0.03689
2.265	-0.04143
2.266	-0.01308
2.267	-0.05657
2.268	-0.18249
2.269	-0.03621
2.270	0.09096
2.271	0.04874
2.272	0.03270
2.273	0.00733
2.274	-0.00813
2.275	-0.01751
2.276	0.07960
2.277	0.06993
2.278	0.02719
2.279	0.01539
2.280	0.02806
2.281	0.00976
2.282	0.00317
2.283	0.02042
2.284	0.01302
2.285	0.01849
2.286	0.01975
2.287	0.02079
2.288	-0.00931
2.289	-0.00603
2.290	0.03606
2.291	-0.02102
2.292	-0.00195
2.293	-0.00168
2.294	-0.00294
2.295	0.00390
2.296	0.03105
2.297	-0.00685
2.298	-0.02394
2.299	-0.02890
2.300	-0.01565
2.301	-0.02561
2.302	0.00560
2.303	-0.00682
2.304	0.00634
2.305	0.02438
2.306	0.00315
2.307	0.00122
2.308	0.03631
2.309	0.00735
2.310	0.00320
2.311	0.00565
2.312	0.02169
2.313	-0.01265
2.314	-0.01276
2.315	-0.00112
2.316	0.01692
2.317	0.02777
2.318	0.03111
2.319	0.02969
2.320	0.02806
2.321	0.01363
2.322	0.01620
2.323	0.01774
2.324	-0.00916
2.325	0.01080
2.326	0.00104
2.327	0.01280
2.328	0.00079
2.329	0.01668
2.330	0.04540
2.331	0.02470
2.332	0.01865
2.333	0.00357
2.334	-0.00433
2.335	-0.00080
2.336	0.01924
2.337	0.00935
2.338	-0.01995
2.339	0.00055
2.340	0.00106
2.341	0.02171
2.342	0.03041
2.343	0.04113
2.344	0.03008
2.345	0.00785
2.346	-0.00339
2.347	0.00156
2.348	0.03558
2.349	-0.00112
2.350	0.01776
2.351	0.00024
2.352	0.01110
2.353	-0.00600
2.354	0.01093
2.355	0.03339
2.356	0.02438
2.357	-0.01541
2.358	-0.00931
2.359	0.01441
2.360	0.00346
2.361	0.00954
2.362	-0.00964
2.363	-0.01186
2.364	-0.00208
2.365	-0.01148
2.366	-0.00263
2.367	-0.02856
2.368	-0.01820
2.369	-0.02011
2.370	-0.00217
2.371	-0.00431
2.372	-0.01697
2.373	-0.00961
2.374	0.01281
2.375	0.00317
2.376	0.00287
2.377	0.02366
2.378	0.04423
2.379	0.06360
2.380	0.02537
2.381	0.00432
2.382	-0.01583
2.383	0.00970
2.384	0.03119
2.385	0.03906
2.386	0.01034
2.387	-0.02566
2.388	-0.00052
2.389	0.01967
2.390	0.02285
2.391	0.02995
2.392	0.01654
2.393	0.03311
2.394	0.02503
2.395	0.00976
2.396	-0.01046
2.397	-0.00279
2.398	0.00027
2.399	-0.02037
2.400	0.00445
2.401	0.00525
2.402	-0.00802
2.403	0.01187
2.404	0.01113
2.405	0.01023
2.406	0.02794
2.407	-0.00105
2.408	-0.01196
2.409	0.00033
2.410	-0.00853
2.411	0.01328
2.412	0.02651
2.413	-0.00018
2.414	-0.01047
2.415	0.01562
2.416	0.02730
2.417	0.00660
2.418	-0.01756
2.419	0.00428
2.420	-0.00461
2.421	0.00419
2.422	0.00551
2.423	0.00635
2.424	0.01467
2.425	0.01539
2.426	0.00800
2.427	0.00650
2.428	-0.02976
