FILENAME:	2jh015_6.txt
TITLE:	AFC Filter 05 ZnS Test Piece Sample 2JH @ 15K, 2.6°i, In f/8 (CDCR 04865/04871, SMCR 02016)
FORMAL_COMMENT:	Astronomical Filter Consortium Test Piece
CREATION_DATE:	14-Feb-2003
RUN_DATE:	31-Jan-2002
AUTHOR:	Richard Sherwood
CHANNEL:	05
CHANNEL_VERSION:	n/a
MODEL:	Test Piece
TEMPERATURE:	15K
ANGLE:	2.6°
FNUMBER:	f/8
DATA:
2.473	0.26442
2.474	0.08874
2.475	0.12176
2.476	-0.00488
2.477	-0.00588
2.478	-0.08267
2.479	-0.36347
2.480	-0.12609
2.481	0.20219
2.482	0.20182
2.483	0.22078
2.484	0.03833
2.485	-0.13622
2.486	-0.24450
2.487	-0.00725
2.488	-0.10557
2.489	0.02117
2.490	0.13343
2.491	0.20606
2.492	0.58444
2.493	0.12895
2.494	-0.12432
2.495	-0.06346
2.496	-0.25059
2.497	-0.15977
2.498	0.03003
2.499	0.24332
2.500	0.71993
2.501	1.16439
2.502	0.63020
2.503	0.13322
2.504	0.45821
2.505	0.55103
2.506	0.37903
2.507	0.25250
2.508	0.10747
2.509	-0.24467
2.510	-0.59453
2.511	-0.31150
2.512	-0.05490
2.513	-0.22448
2.514	-0.11613
2.515	0.20600
2.516	-0.42887
2.517	-0.34775
2.518	-0.16656
2.519	-0.15386
2.520	-0.42440
2.521	0.05374
2.522	0.33679
2.523	0.30595
2.524	-0.08701
2.525	0.18315
2.526	0.18937
2.527	0.04237
2.528	0.24918
2.529	0.22834
2.530	-0.31968
2.531	0.20692
2.532	0.49013
2.533	-0.21962
2.534	-0.24751
2.535	-0.05264
2.536	-0.08698
2.537	-0.18991
2.538	-0.45878
2.539	0.05593
2.540	0.07408
2.541	0.01107
2.542	0.04922
2.543	-0.21943
2.544	-0.07090
2.545	-0.01126
2.546	0.24962
2.547	0.49718
2.548	0.50998
2.549	0.06313
2.550	-0.01561
2.551	-0.06334
2.552	0.20961
2.553	-0.19068
2.554	-0.38348
2.555	-0.27707
2.556	0.35364
2.557	0.55289
2.558	0.17780
2.559	-0.14791
2.560	-0.10660
2.561	-0.20242
2.562	-0.44434
2.563	-0.43392
2.564	0.26292
2.565	0.56527
2.566	0.52646
2.567	0.36209
2.568	0.20860
2.569	0.22533
2.570	-0.11449
2.571	-0.04751
2.572	-0.14169
2.573	0.00232
2.574	0.45361
2.575	0.25806
2.576	0.10293
2.577	0.18767
2.578	0.27253
2.579	0.02921
2.580	-0.24682
2.581	0.11404
2.582	0.20451
2.583	0.49958
2.584	0.84734
2.585	0.25771
2.586	0.13692
2.587	0.04382
2.588	-0.07047
2.589	0.07713
2.590	0.09188
2.591	-0.12019
2.592	-0.12066
2.593	-0.20399
2.594	-0.73079
2.595	-0.68244
2.596	0.43200
2.597	0.20621
2.598	-0.14984
2.599	-0.23296
2.600	-0.11443
2.601	0.04138
2.602	0.02214
2.603	0.09412
2.604	-0.22718
2.605	-0.07192
2.606	0.05741
2.607	0.01769
2.608	0.04481
2.609	0.06216
2.610	0.29482
2.611	0.17227
2.612	0.20716
2.613	0.05932
2.614	0.09854
2.615	0.18524
2.616	0.13693
2.617	0.12573
2.618	-0.00785
2.619	-0.04465
2.620	-0.17283
2.621	-0.11639
2.622	0.05950
2.623	0.17813
2.624	0.24815
2.625	0.11423
2.626	-0.03113
2.627	0.07256
2.628	0.09988
2.629	0.06575
2.630	0.04084
2.631	0.05988
2.632	-0.04230
2.633	-0.03006
2.634	-0.15389
2.635	0.06166
2.636	0.02273
2.637	-0.00963
2.638	0.06731
2.639	0.01890
2.640	0.03654
2.641	0.09603
2.642	0.08487
2.643	0.04450
2.644	0.05151
2.645	0.04953
2.646	-0.01775
2.647	0.05777
2.648	0.05202
2.649	0.04770
2.650	0.02044
2.651	-0.02344
2.652	-0.01258
2.653	-0.01831
2.654	0.02474
2.655	0.06087
2.656	0.05504
2.657	0.03592
2.658	0.02882
2.659	0.08220
2.660	-0.03086
2.661	-0.00073
2.662	0.01684
2.663	0.02627
2.664	0.09728
2.665	0.04814
2.666	0.02862
2.667	0.22212
2.668	0.12907
2.669	-0.02333
2.670	-0.30197
2.671	-0.30527
2.672	-0.08445
2.673	0.01432
2.674	0.03082
2.675	0.07461
2.676	0.12864
2.677	0.16341
2.678	0.28587
2.679	0.19295
2.680	0.02731
2.681	0.02184
2.682	-0.01015
2.683	0.06242
2.684	0.11689
2.685	0.07132
2.686	0.06721
2.687	0.12703
2.688	0.12606
2.689	0.12462
2.690	0.02621
2.691	-0.05365
2.692	-0.01769
2.693	0.00093
2.694	-0.04227
2.695	0.01147
2.696	0.05746
2.697	0.06251
2.698	0.07225
